,us equity,eu equity,em equity,us gov,eu gov,us corp,eu corp,us real,eu real,comm
05/05/2005,22.91440983,27.7301238,13.29454511,141.5620994,120.55,112.0927,104.3150033,13.83113513,22.49742246,24.3818939
06/05/2005,22.84224048,27.81200408,13.37039913,140.8323464,120.62,111.9601,103.9434327,13.65698882,22.3922061,24.41099823
09/05/2005,22.98465544,27.67553694,13.35736854,140.8123531,120.21,111.5317,104.1154561,13.89333024,22.34443884,24.53944286
10/05/2005,22.74663649,27.45718951,13.28675588,141.1922246,120.46,111.8683,104.3494079,13.89333024,22.15727904,24.62684764
11/05/2005,22.87150463,27.34801579,13.19423145,141.3621671,120.96,111.8479,104.452622,13.9007789,22.28796622,24.44056161
12/05/2005,22.61984462,27.62095008,13.11633912,141.5321096,121.05,111.9193,104.3975745,13.76146677,22.30757813,23.96791475
13/05/2005,22.57497682,27.59365665,13.05664594,141.8819912,122.3,112.0927,104.4732648,13.756501,22.25850971,23.77979249
16/05/2005,22.78565536,27.60275446,13.04041231,141.9119811,121.082,112.2151,104.4182173,13.821179,22.16891712,23.68614451
17/05/2005,22.93782503,27.52997199,13.02243156,142.0019506,121.009,112.1029,104.3975745,13.94306174,22.22449382,23.80458166
18/05/2005,23.17388138,28.02125371,13.1338103,142.3118458,121.394,112.2355,104.4732648,14.07989098,22.21676412,23.75527875
19/05/2005,23.2714091,28.18501428,13.26855674,142.0319405,121.332,112.1947,104.4319792,14.26645172,22.28503758,23.60984895
20/05/2005,23.23825861,28.19411209,13.23426956,141.9319743,120.926,112.1947,104.3150033,14.29632013,22.31441271,23.5914866
23/05/2005,23.36701309,28.37606828,13.20049195,142.3818221,121.082,112.1845,104.5489551,14.32864683,22.56406681,23.84782499
24/05/2005,23.31239057,28.33967704,13.25043039,142.6117443,121.53,112.7557,104.7347404,14.12964707,22.67172601,23.92182526
25/05/2005,23.29482431,28.33057923,13.21301296,142.4018153,121.696,113.061,104.8310735,13.95550076,22.89477086,24.21608189
26/05/2005,23.41967301,28.56712229,13.23681744,142.3218424,121.561,112.9586,104.8104307,13.89581313,22.84261105,24.29366282
27/05/2005,23.45869187,28.53073105,13.39478598,142.3618288,121.488,112.7334,104.8104307,13.96793979,22.889401,24.35508487
30/05/2005,23.45869187,28.72178505,13.45120331,142.3618288,121.478,112.7334,104.8104307,13.96793979,22.8685693,24.35508487
31/05/2005,23.30848479,28.56712229,13.34004296,142.9416327,121.488,113.4705,105.1407157,14.11472516,22.8753217,24.36362337
01/06/2005,23.50746545,29.04020839,13.30218875,143.6813823,121.894,113.9107,105.3884294,14.27640786,22.93944509,24.86445643
02/06/2005,23.55818219,29.0493062,13.42201189,143.8013418,122.279,114.5352,105.4159532,14.22665177,22.91006833,24.7649325
03/06/2005,23.43918244,28.88554562,13.52960521,143.271521,122.653,114.6273,105.3815485,14.22915924,22.99209396,25.07351177
06/06/2005,23.41772984,28.73998067,13.5170842,143.4214703,122.351,114.4021,105.5054053,14.33612008,23.07102576,25.14007528
07/06/2005,23.4352961,29.11299086,13.48396177,143.7913451,122.591,114.6785,105.7737619,14.45800283,23.26420723,24.96287862
08/06/2005,23.39237146,29.04020839,13.52931403,143.5714196,122.996,114.7809,105.9457853,14.51771505,23.41597105,24.66733661
09/06/2005,23.50355967,28.99471934,13.45440636,143.3714872,122.986,114.4431,105.9113806,14.53263696,23.05841282,24.86243657
10/06/2005,23.44893715,29.15847991,13.54423732,142.8316699,122.903,114.2383,105.8012856,14.50279314,23.01439039,24.65255492
13/06/2005,23.5230691,29.31314268,13.56811459,142.6117443,122.736,113.6445,105.7255953,14.56995402,23.02854944,25.00557108
14/06/2005,23.57769163,29.35863172,13.60363932,142.3418356,122.591,113.6241,105.649905,14.68935388,23.12310664,24.94341453
15/06/2005,23.62255943,29.21306677,13.71181501,142.3718255,122.05,113.7264,105.3058582,14.72170517,23.01764453,25.25557446
16/06/2005,23.68305033,29.38592515,13.77325531,142.7017138,121.706,113.6753,105.1338347,14.73662708,23.03717506,25.48629737
17/06/2005,23.77035697,29.50419668,13.89395201,142.6817206,121.779,113.9824,105.3058582,14.90330014,23.59377124,25.87456923
20/06/2005,23.77820738,29.40412077,13.87699041,142.541768,121.758,113.6343,105.3609057,14.89086112,23.34517419,26.13210117
21/06/2005,23.79190673,29.54968573,13.83134697,142.9216394,122.632,113.921,105.7462381,14.76398801,23.42077048,25.8477602
22/06/2005,23.81149389,29.53149011,13.95473714,143.6713857,123.111,114.5454,106.090285,14.74159286,23.59548009,25.72776225
23/06/2005,23.47656904,29.64066382,13.90953047,143.5914128,123.069,114.8423,106.0352375,14.68935388,23.39635833,25.76118173
24/06/2005,23.30420982,29.35863172,13.83498679,143.9113045,123.329,115.0982,106.1109278,14.65951006,23.33549071,25.88751469
27/06/2005,23.33749633,29.10389305,13.8093624,144.0912437,123.412,115.2825,106.2554275,14.6406057,23.2491547,25.60464271
28/06/2005,23.53336791,29.41321858,13.83302129,143.6713857,123.111,113.6343,106.0627612,14.7135436,23.17925377,25.08682447
29/06/2005,23.47068123,29.6224682,13.79931648,143.5014432,123.059,114.98,106.0214756,14.76133304,23.0298506,25.05487399
30/06/2005,23.34338413,29.61337039,13.79327436,143.821335,123.267,114.8155,106.2347846,14.76384051,23.07582763,24.77374643
01/07/2005,23.41193919,29.81352221,13.87262262,143.1215718,123.267,114.7538,106.1246897,14.88960738,22.88891276,25.06341248
04/07/2005,23.41193919,29.92269592,13.81969952,143.1215718,123.048,116.2037,106.0214756,14.88960738,22.77547764,25.06341248
05/07/2005,23.59996036,29.84081564,13.75512896,142.7317037,122.611,113.9928,105.8494522,15.0782331,22.82454443,25.68672241
06/07/2005,23.40214561,30.04096745,13.81729723,142.9816191,122.632,113.818,105.8081666,15.04049812,23.04075551,25.96821721
07/07/2005,23.49419359,29.50419668,13.74697575,143.2415312,122.705,113.818,106.0352375,15.05559212,22.63885098,25.80580224
08/07/2005,23.762526,30.02277183,13.78366522,142.7716902,122.965,113.7254,106.0077137,15.31214079,22.77051303,25.64237733
11/07/2005,23.88397415,30.24111926,14.03153751,142.8616597,122.757,113.5197,105.8769759,15.49825904,23.28959668,25.60960054
12/07/2005,23.9466414,30.09555431,14.22845222,142.6117443,122.632,113.458,105.8838569,15.49575157,23.57831102,25.89807304
13/07/2005,23.97994734,30.32299955,14.26142906,142.4817883,122.445,113.3552,105.7875237,15.40521221,23.3909071,25.96739091
14/07/2005,24.07395792,30.48676012,14.36632891,142.3818221,122.414,113.3552,105.7049525,15.14866353,23.2954556,25.84748477
15/07/2005,24.06023914,30.49585793,14.25262068,142.4418018,122.258,113.4066,105.6911906,15.21154697,23.10081021,25.88898368
18/07/2005,23.96426595,30.51405355,14.28224888,142.1518999,122.455,113.6329,105.8563331,15.25178941,23.05581048,25.65862801
19/07/2005,24.09550768,30.72330317,14.34339799,142.3818221,122.299,113.2318,105.7255953,15.36747723,22.83626389,25.40816557
20/07/2005,24.17776209,30.7505966,14.41197235,142.5717578,122.32,113.3141,105.6774288,15.50329857,22.84545832,25.34637627
21/07/2005,24.03674621,30.74149879,14.51446991,141.8320081,122.32,113.2421,105.7187144,15.28448487,23.05808895,25.01769023
22/07/2005,24.19734924,30.63232507,14.58653851,142.2118796,122.684,113.1598,105.9939519,15.40521221,23.19129709,25.27513036
25/07/2005,24.12879419,30.70510755,14.5783125,142.0819236,122.674,113.2524,106.1315706,15.40521221,23.17656762,25.27806833
26/07/2005,24.15817493,30.69600974,14.47647011,142.1319066,122.518,113.1804,105.98019,15.57623647,23.1057732,25.35234403
27/07/2005,24.24631714,30.79608565,14.54562684,141.9719608,122.736,113.2199,106.0696422,15.61898639,23.30766167,25.47729982
28/07/2005,24.3990892,31.00533527,14.70344979,142.4517984,122.736,113.2199,106.0283565,15.83743134,23.33459722,25.79276497
29/07/2005,24.23652356,30.9416506,14.75739204,141.8719946,122.799,113.3643,106.0283565,15.81769115,23.36861067,25.88439309
01/08/2005,24.218899,30.88706374,14.86782443,141.6820589,122.154,112.931,105.76,15.8076121,23.73495564,26.17571175
02/08/2005,24.36384009,31.16909584,15.05527558,141.5720961,122.154,112.7349,105.6911906,15.92079245,23.82284019,26.47015201
03/08/2005,24.42846994,31.05082432,15.14619849,141.8520014,122.029,112.7246,105.7324763,15.88308206,23.98306445,26.26201479
04/08/2005,24.23261779,30.78698784,15.15981144,141.7220453,122.112,112.8381,105.7255953,15.61394686,24.13173443,26.3059008
